,Titulos,Plataforma,Fecha,MetaScore,UserScore
0,Divinity: Original Sin II - Definitive Edition,Switch,"September 4, 2019",93,8.6
1,Red Dead Redemption 2,PC,"November 5, 2019",93,5.5
2,Resident Evil 2,XboxOne,"January 25, 2019",93,8.6
3,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch,"September 27, 2019",91,8.6
4,Sekiro: Shadows Die Twice,XboxOne,"March 22, 2019",91,7.9
5,Final Fantasy XIV: Shadowbringers,PlayStation4,"July 2, 2019",91,8.4
6,Disco Elysium,PC,"October 15, 2019",91,8.4
7,NieR: Automata - Game of the YoRHa Edition,PlayStation4,"February 26, 2019",91,8.6
8,Resident Evil 2,PlayStation4,"January 25, 2019",91,8.9
9,Final Fantasy XIV: Shadowbringers,PC,"July 2, 2019",90,9.0
10,Monster Hunter: World - Iceborne,XboxOne,"September 6, 2019",90,8.1
11,Tetris Effect,PC,"July 23, 2019",90,6.5
12,Ori and the Blind Forest: Definitive Edition,Switch,"September 27, 2019",90,8.6
13,Sekiro: Shadows Die Twice,PlayStation4,"March 22, 2019",90,8.1
14,Resident Evil 2,PC,"January 25, 2019",89,9.0
15,Monster Hunter: World - Iceborne,PlayStation4,"September 6, 2019",89,8.4
16,F1 2019,XboxOne,"June 25, 2019",89,6.7
17,Devil May Cry 5,PC,"March 7, 2019",89,8.6
18,Slay the Spire,PC,"January 23, 2019",89,7.2
19,Fire Emblem: Three Houses,Switch,"July 26, 2019",89,8.7
20,Apex Legends,PlayStation4,"February 4, 2019",89,6.8
21,Asgard's Wrath,PC,"October 10, 2019",88,8.2
22,Sekiro: Shadows Die Twice,PC,"March 22, 2019",88,7.9
23,What Remains of Edith Finch,Switch,"July 4, 2019",88,7.8
24,Unity of Command II,PC,"November 12, 2019",88,7.2
25,Super Mario Maker 2,Switch,"June 28, 2019",88,8.5
26,Apex Legends,PC,"February 4, 2019",88,5.9
27,Devil May Cry 5,PlayStation4,"March 8, 2019",88,8.4
28,Slay the Spire,PlayStation4,"May 21, 2019",88,6.6
29,Downwell,Switch,"January 31, 2019",88,7.2
30,Apex Legends,XboxOne,"February 4, 2019",88,6.7
31,Frostpunk: Console Edition,PlayStation4,"October 11, 2019",87,7.9
32,Devil May Cry 5,XboxOne,"March 8, 2019",87,7.6
33,Sid Meier's Civilization VI,PlayStation4,"November 22, 2019",87,6.7
34,Cuphead,Switch,"April 17, 2019",87,8.3
35,Astral Chain,Switch,"August 30, 2019",87,8.9
36,Baba Is You,PC,"March 13, 2019",87,8.1
37,The Legend of Zelda: Link's Awakening,Switch,"September 20, 2019",87,8.4
38,F1 2019,PC,"June 27, 2019",87,7.2
39,Sunless Skies,PC,"January 31, 2019",87,6.9
40,Sid Meier's Civilization VI,XboxOne,"November 22, 2019",86,7.2
41,Dragon Quest Builders 2,PlayStation4,"July 12, 2019",86,7.7
42,Steins;Gate Elite,PlayStation4,"February 19, 2019",86,7.3
43,Ni no Kuni: Wrath of the White Witch Remastered,PlayStation4,"September 20, 2019",86,8.1
44,Valfaris,PC,"October 10, 2019",86,8.1
45,Star Wars Pinball,Switch,"September 13, 2019",86,7.2
46,Fell Seal: Arbiter's Mark,PlayStation4,"April 30, 2019",86,6.3
47,AI: The Somnium Files,Switch,"September 17, 2019",86,8.9
48,Mortal Kombat 11,XboxOne,"April 23, 2019",86,3.3
49,MLB The Show 19,PlayStation4,"March 26, 2019",86,7.7
50,Luigi's Mansion 3,Switch,"October 31, 2019",86,8.5
51,Assault Android Cactus+,Switch,"March 8, 2019",86,8.4
52,BlazBlue: Central Fiction - Special Edition,Switch,"February 7, 2019",86,8.7
53,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Switch,"June 13, 2019",85,8.1
54,NHL 20,XboxOne,"September 10, 2019",85,4.4
55,The Outer Worlds,PlayStation4,"October 25, 2019",85,8.0
56,Blaster Master Zero II,Switch,"March 20, 2019",85,8.5
57,Final Fantasy XII: The Zodiac Age,Switch,"April 30, 2019",85,8.6
58,Guacamelee! 2,XboxOne,"January 18, 2019",85,6.4
59,Slay the Spire,Switch,"June 6, 2019",85,8.2
60,Devotion,PC,"February 19, 2019",85,7.5
61,The Witcher 3: Wild Hunt - Complete Edition,Switch,"October 15, 2019",85,8.5
62,Control,PC,"August 27, 2019",85,7.2
63,Dragon Quest Builders 2,PC,"December 10, 2019",85,7.4
64,The Outer Worlds,XboxOne,"October 25, 2019",85,8.1
65,VA-11 Hall-A: Cyberpunk Bartender Action,PlayStation4,"May 2, 2019",85,6.3
66,Final Fantasy X / X-2 HD Remaster,XboxOne,"April 16, 2019",85,6.7
67,AMID EVIL,PC,"June 20, 2019",85,7.1
68,Dragon Quest Builders 2,Switch,"July 12, 2019",85,8.3
69,Age of Wonders: Planetfall,XboxOne,"August 6, 2019",85,6.5
70,Tangle Tower,Switch,"October 22, 2019",85,7.7
71,Steins;Gate Elite,Switch,"February 19, 2019",85,7.7
72,Total War: Three Kingdoms,PC,"May 23, 2019",85,7.8
73,The Walking Dead: The Telltale Definitive Series,XboxOne,"September 10, 2019",85,7.4
74,Outer Wilds,PC,"May 30, 2019",85,7.9
75,Trials Rising,XboxOne,"February 26, 2019",85,5.4
76,Outer Wilds,XboxOne,"May 30, 2019",85,7.7
77,Final Fantasy X / X-2 HD Remaster,Switch,"April 16, 2019",85,7.7
78,Disgaea 4 Complete+,Switch,"October 29, 2019",85,8.6
79,DiRT Rally 2.0,PC,"February 26, 2019",84,4.8
80,Crash Team Racing: Nitro-Fueled,XboxOne,"June 21, 2019",84,5.9
81,Gears 5,XboxOne,"September 6, 2019",84,8.2
82,80 DAYS,Switch,"October 1, 2019",84,7.9
83,VA-11 Hall-A: Cyberpunk Bartender Action,Switch,"May 2, 2019",84,8.2
84,DiRT Rally 2.0,PlayStation4,"February 26, 2019",84,5.7
85,Frostpunk: Console Edition,XboxOne,"October 11, 2019",84,8.2
86,Manifold Garden,PC,"October 18, 2019",84,7.6
87,Eliza,PC,"August 12, 2019",84,5.7
88,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,3DS,"January 11, 2019",84,7.8
89,Wargroove,Switch,"February 1, 2019",84,7.3
90,Football Manager 2020,PC,"November 18, 2019",84,5.8
91,Wargroove,PlayStation4,"July 23, 2019",84,5.7
92,Bloodstained: Ritual of the Night,XboxOne,"June 18, 2019",84,7.9
93,Atelier Ryza: Ever Darkness & the Secret Hideout,Switch,"October 29, 2019",84,8.1
94,Tom Clancy's The Division 2,PC,"March 15, 2019",84,4.6
95,Yooka-Laylee and the Impossible Lair,XboxOne,"October 8, 2019",84,6.4
96,Age of Empires II: Definitive Edition,PC,"November 14, 2019",84,8.9
97,F1 2019,PlayStation4,"June 25, 2019",84,7.7
98,Baba Is You,Switch,"March 13, 2019",84,8.0
99,Sayonara Wild Hearts,Switch,"September 19, 2019",84,8.2
